"","pid","W1_Paranoia1","W1_Paranoia2","W1_Paranoia3","W1_Paranoia4","W1_Paranoia5","W1_Paranoia_Total","W1_Conspiracy_1","W1_Conspiracy_2","W1_Conspiracy_3","W1_Conspiracy_4","W1_Conspiracy_5","W1_Conspiracy_Total","W1_Religion_binary","W1_ReligiousBelief_Total","W1_ReligiousBelief1","W1_ReligiousBelief2","W1_ReligiousBelief3","W1_ReligiousBelief4","W1_ReligiousBelief5","W1_ReligiousBelief6","W1_ReligiousBelief7","W1_ReligiousBelief8","W1_ReligiousBelief2_R","W1_ReligiousBelief4_R","W1_ReligiousBelief6_R","W1_ReligiousBelief8_R","W1_Political_Scale","W1_Nationalism1","W1_Nationalism2","W1_Nationalism_Total","W1_Death_Anxiety_Total","W1_DAI1","W1_DAI2","W1_DAI3","W1_DAI4","W1_DAI5","W1_DAI6","W1_DAI7","W1_DAI8","W1_DAI9","W1_DAI10","W1_DAI11","W1_DAI12","W1_DAI13","W1_DAI14","W1_DAI15","W1_DAI16","W1_DAI17","W1_CRT1","W1_CRT2","W1_CRT3","W1_CRT4","W1_CRT5","W1_ReligiousBelief1_R","W1_ReligiousBelief3_R","W1_ReligiousBelief5_R","W1_ReligiousBelief7_R","W1_TotalCRT","W1_Gender","W1_Age_year","W1_Age_categories"
"2230",1587410981,3,5,5,5,5,23,11,11,11,11,11,55,1,20,3,4,3,3,1,4,3,3,2,3,2,3,5,1,1,2,59,1,1,3,4,4,5,5,4,4,4,4,3,4,3,4,3,3,2,2,4,4,3,3,3,5,3,0,2,30,2
"2231",1587667025,1,1,1,1,1,5,11,7,8,8,6,40,0,24,5,5,5,5,5,5,5,5,1,1,1,1,7,4,4,8,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,4,3,1,1,1,1,0,1,67,6
"2233",1588947019,1,3,3,3,3,13,9,9,10,7,8,43,0,29,3,1,3,1,3,4,3,1,5,5,2,5,3,3,3,6,55,1,2,2,4,5,4,5,2,5,4,4,1,5,2,4,3,2,1,1,1,2,2,3,3,3,3,5,1,36,3
"2234",1590366419,2,3,2,3,4,14,9,10,8,7,5,39,1,24,2,1,3,1,2,4,3,4,5,5,2,2,3,2,2,4,49,3,3,3,3,3,4,2,2,3,3,3,3,3,3,2,3,3,2,2,2,4,3,4,3,4,3,0,1,37,3
"2236",1591078308,5,4,3,2,4,18,11,10,9,11,11,52,0,35,1,2,5,1,5,1,5,1,4,5,5,5,5,2,3,5,38,1,1,2,2,2,2,2,4,2,2,2,4,2,2,2,4,2,2,2,2,4,3,5,1,1,1,0,2,33,2
"2237",1591341087,4,3,3,2,3,15,9,9,8,7,6,39,1,24,4,4,4,4,4,4,4,4,2,2,2,2,5,3,4,7,52,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,4,2,4,3,2,2,2,2,0,2,19,1
"2238",1591897091,4,3,4,5,5,21,8,6,9,6,7,36,1,25,2,1,2,1,1,2,3,3,5,5,4,3,5,3,4,7,64,5,4,3,3,3,4,4,3,3,4,3,4,3,4,4,5,5,1,1,1,2,2,4,4,5,3,5,1,32,2
"2239",1592592621,4,2,3,4,4,17,5,9,8,7,4,33,1,33,5,1,5,1,5,4,5,5,5,5,2,1,6,2,2,4,64,5,2,5,3,5,5,2,3,5,3,5,3,3,4,4,4,3,2,1,1,2,2,1,1,1,1,4,1,32,2
"2240",1594615525,1,1,1,1,3,7,7,7,6,2,2,24,0,34,4,2,5,2,4,2,5,2,4,4,4,4,6,2,2,4,29,1,1,1,1,1,1,1,3,4,4,1,1,1,1,3,3,1,2,1,3,4,2,2,1,2,1,2,2,66,6
"2241",1594739788,3,5,4,3,3,18,11,11,11,11,11,55,1,30,3,3,3,1,3,3,5,1,3,5,3,5,8,4,4,8,65,3,3,3,5,5,3,5,3,5,5,3,5,5,3,1,5,3,1,1,1,2,3,3,3,3,1,4,2,43,3
"2242",1595482566,2,3,2,2,3,12,7,6,5,8,5,31,1,25,4,3,3,3,4,3,2,3,3,3,3,3,6,2,3,5,49,3,4,4,3,2,2,3,4,3,2,3,3,2,4,3,2,2,2,2,2,4,3,2,3,2,4,0,1,39,3
"2243",1596067063,5,5,4,5,4,23,4,3,2,3,6,18,1,22,2,1,1,1,1,2,1,3,5,5,4,3,3,3,4,7,47,3,3,4,4,4,1,5,3,1,1,1,2,4,1,4,3,3,2,4,2,2,3,4,5,5,5,1,2,30,2
"2244",1596927482,3,3,3,4,4,17,5,7,3,4,5,24,1,22,2,3,3,3,2,4,4,3,3,3,2,3,5,3,3,6,49,2,3,3,3,3,1,3,2,4,4,3,3,4,3,2,3,3,2,3,2,4,3,4,3,4,2,0,2,30,2
"2245",1597000134,2,3,2,1,2,10,7,6,4,6,4,27,1,27,4,3,3,4,3,2,4,2,3,2,4,4,5,3,4,7,49,4,3,3,2,3,4,2,4,3,3,4,3,2,2,4,1,2,2,2,1,2,3,2,3,3,2,2,2,23,1
"2246",1597280252,1,1,1,1,1,5,2,4,2,1,1,10,0,40,5,1,5,1,5,1,5,1,5,5,5,5,6,3,2,5,23,1,1,1,1,3,1,1,1,1,1,1,1,1,1,4,2,1,1,1,1,2,2,1,1,1,1,5,1,52,4
"2247",1597898848,2,1,3,2,4,12,11,6,9,10,7,43,1,23,2,1,3,1,1,3,2,4,5,5,3,2,10,5,5,10,39,2,1,3,2,3,1,3,4,2,3,1,2,2,4,1,3,2,2,2,2,4,3,4,3,5,4,0,1,46,4
"2248",1598355228,3,3,3,3,4,16,9,9,7,6,6,37,1,23,3,3,2,3,3,3,3,3,3,3,3,3,5,3,3,6,60,3,2,3,4,5,3,4,4,5,4,2,3,5,3,2,5,3,2,2,2,2,3,3,4,3,3,1,2,22,1
"2249",1598532256,1,1,3,2,3,10,7,8,8,9,9,41,1,25,5,5,4,4,3,3,3,2,1,2,3,4,6,4,4,8,52,1,2,2,2,3,3,4,4,4,4,4,5,4,3,2,2,3,2,2,2,2,3,1,2,3,3,1,1,38,3
"2252",1601692582,3,3,3,3,3,15,6,6,6,6,6,30,1,24,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,6,51,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,1,1,32,2
"2253",1602160595,3,3,2,3,3,14,8,8,8,6,5,35,1,24,3,3,2,3,3,3,4,3,3,3,3,3,8,3,4,7,49,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,1,2,1,4,2,3,4,3,2,3,1,31,2
"2254",1602637768,2,4,4,4,5,19,11,11,6,6,9,43,0,40,5,1,5,1,5,1,5,1,5,5,5,5,4,1,1,2,31,1,4,2,1,2,1,1,1,1,1,4,1,1,4,1,1,4,1,1,1,2,2,1,1,1,1,5,2,29,2
"2257",1604367974,2,2,2,2,2,10,6,11,11,6,6,40,1,31,4,2,3,2,4,2,4,2,4,4,4,4,1,4,4,8,37,4,2,2,4,3,2,2,2,2,2,1,2,2,1,3,2,1,2,2,2,4,2,2,3,2,2,1,1,46,4
"2258",1604591497,2,2,3,1,3,11,7,11,7,6,7,38,1,29,3,1,3,1,3,5,5,2,5,5,1,4,3,2,3,5,20,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,1,2,1,54,4
"2259",1604617195,5,5,5,5,5,25,4,4,4,4,4,20,1,24,1,1,1,1,1,1,1,1,5,5,5,5,2,1,1,2,81,5,5,5,5,4,5,5,4,5,5,4,5,4,5,5,5,5,2,2,2,2,3,5,5,5,5,1,2,35,3
"2260",1604676800,4,4,4,4,4,20,6,7,8,9,10,40,1,21,1,2,1,2,1,2,1,1,4,4,4,5,10,5,5,10,85,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,4,3,5,5,5,5,0,1,19,1
"2261",1604731768,2,4,4,2,5,17,9,11,11,9,11,51,1,17,1,5,1,1,1,2,2,4,1,5,4,2,5,2,5,7,35,1,1,2,2,4,2,4,4,2,3,2,1,2,1,2,1,1,2,4,2,4,3,5,5,5,4,0,2,35,3
"2262",1604992768,1,3,3,2,4,13,4,4,5,4,4,21,1,40,5,1,5,1,5,1,5,1,5,5,5,5,8,3,3,6,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,5,1,50,4
"2264",1607473239,1,4,1,1,1,8,5,8,7,8,10,38,1,21,1,5,4,1,1,2,1,2,1,5,4,4,9,4,2,6,55,4,4,2,4,1,2,1,5,5,5,1,4,5,1,4,5,2,2,4,2,4,3,5,2,5,5,0,2,25,2
"2265",1607946359,1,1,1,1,1,5,7,8,3,3,2,23,0,39,5,2,5,1,5,1,5,1,4,5,5,5,4,2,3,5,46,4,2,3,2,3,2,2,4,3,4,2,2,2,3,2,3,3,2,1,1,2,2,1,1,1,1,4,1,64,5
"2266",1608336283,2,3,2,3,1,11,10,9,9,8,11,47,0,30,3,2,3,1,3,2,3,1,4,5,4,5,3,2,2,4,36,2,3,1,2,2,2,2,3,4,2,1,2,4,1,1,3,1,2,1,1,2,2,3,3,3,3,4,2,18,1
"2267",1608532643,1,1,1,1,1,5,7,9,7,9,8,40,0,36,4,1,5,1,5,1,3,2,5,5,5,4,7,4,4,8,34,2,2,2,2,1,1,2,3,2,2,2,2,2,2,2,3,2,1,1,3,4,3,2,1,1,3,2,1,45,4
"2268",1608823257,1,2,1,1,4,9,7,11,8,5,8,39,0,31,2,4,5,1,5,2,4,2,2,5,4,4,5,3,2,5,32,1,2,2,1,4,2,1,1,1,1,4,1,2,3,1,1,4,1,1,1,2,2,4,1,1,2,5,2,20,1
"2269",1608861544,3,4,4,4,4,19,10,10,8,6,7,41,1,30,4,2,4,2,4,2,4,4,4,4,4,2,5,3,3,6,51,4,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,2,2,4,3,2,2,2,2,0,2,32,2
"2270",1609809223,4,2,4,1,2,13,7,8,9,8,9,41,1,19,2,4,2,2,2,4,2,3,2,4,2,3,7,4,4,8,55,4,2,2,2,4,4,4,4,2,4,2,4,3,4,4,4,2,2,1,3,4,2,4,4,4,4,2,2,50,4
"2271",1610041795,1,1,1,1,1,5,6,6,7,7,7,33,1,29,3,2,4,4,4,2,4,2,4,2,4,4,4,3,2,5,24,2,2,1,3,2,1,1,1,3,1,1,1,1,1,1,1,1,2,2,2,2,2,3,2,2,2,2,2,67,6
"2272",1610113423,1,5,5,3,5,19,9,11,8,6,5,39,1,35,1,1,4,1,5,1,5,1,5,5,5,5,3,3,4,7,29,1,5,1,1,1,1,1,1,1,1,5,1,1,1,1,1,5,2,2,1,2,2,5,2,1,1,3,3,23,1
"2273",1610519858,1,2,2,2,3,10,8,8,8,8,8,40,1,24,3,3,3,3,3,3,3,3,3,3,3,3,7,4,4,8,34,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,3,3,3,3,0,2,56,5
"2274",1610717236,3,4,4,3,5,19,6,6,8,8,7,35,1,37,5,1,5,3,5,2,5,1,5,3,4,5,5,4,3,7,21,1,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,3,1,1,1,1,0,1,52,4
"2275",1610738875,4,2,2,1,2,11,5,6,8,7,7,33,1,22,2,2,2,3,2,2,3,4,4,3,4,2,6,3,4,7,38,2,1,1,2,4,3,2,4,2,2,2,2,3,2,2,2,2,1,1,1,2,2,4,4,4,3,5,2,36,3
"2276",1610860696,4,3,4,3,3,17,6,6,6,6,6,30,1,24,3,3,3,3,3,3,3,3,3,3,3,3,5,4,3,7,52,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,2,2,2,3,3,3,3,3,1,1,30,2
"2277",1611387447,5,5,3,3,4,20,9,9,11,8,8,45,0,24,3,3,4,3,3,4,3,3,3,3,2,3,2,1,1,2,70,3,2,4,5,4,5,5,5,5,5,4,5,5,3,4,3,3,1,1,1,4,3,3,2,3,3,3,2,19,1
"2278",1611647846,1,2,2,2,2,9,8,7,5,6,10,36,1,24,2,2,4,2,2,4,2,2,4,4,2,4,7,3,4,7,40,5,1,2,2,4,2,2,5,4,2,2,2,2,1,2,1,1,2,2,2,4,2,4,2,4,4,1,1,45,4
"2280",1611699237,1,1,1,1,1,5,8,8,10,8,8,42,1,19,1,5,3,2,1,4,3,2,1,4,2,4,5,1,3,4,26,2,1,1,2,2,1,1,1,2,2,3,1,2,2,1,1,1,1,1,1,2,2,5,3,5,3,5,2,31,2
"2281",1611990671,3,5,4,4,5,21,9,9,9,9,9,45,0,26,3,2,1,3,5,4,4,2,4,3,2,4,5,1,3,4,35,2,3,2,2,2,2,2,2,2,1,2,2,2,2,1,2,4,2,2,2,4,3,3,5,1,2,0,2,41,3
"2282",1612011249,1,5,2,1,4,13,9,8,7,6,7,37,0,38,4,2,5,1,5,1,5,1,4,5,5,5,3,1,2,3,45,4,3,3,2,3,2,2,2,2,2,3,2,2,4,2,4,3,1,1,1,2,2,2,1,1,1,5,2,19,1
"2283",1612436866,2,2,2,3,3,12,6,7,6,5,6,30,1,16,3,5,2,3,1,4,1,3,1,3,2,3,4,3,3,6,49,3,2,2,3,4,4,2,3,3,3,3,2,4,2,3,3,3,2,2,2,4,2,3,4,5,5,1,1,19,1
"2284",1613170293,1,4,2,1,1,9,8,6,9,8,6,37,1,25,3,4,3,2,3,3,4,3,2,4,3,3,5,2,4,6,42,3,2,2,4,3,2,4,1,3,2,3,2,2,1,4,2,2,2,1,2,4,2,3,3,3,2,2,2,33,2
"2285",1613248286,3,3,3,3,3,15,7,7,7,7,7,35,0,37,5,2,5,2,5,1,5,2,4,4,5,4,4,2,2,4,37,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,1,1,1,4,2,1,1,1,1,4,1,63,5
"2286",1613569225,4,4,4,4,5,21,10,9,10,10,11,50,1,22,1,2,2,2,1,3,2,1,4,4,3,5,4,2,4,6,18,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,3,2,2,3,5,4,5,4,1,1,44,3
"2287",1616321769,1,1,1,1,1,5,9,10,10,10,10,49,1,24,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,6,51,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,4,2,3,3,3,3,1,2,25,2
"2290",1617899849,3,4,3,1,4,15,8,5,8,8,4,33,1,25,3,4,3,1,3,4,3,2,2,5,2,4,4,3,3,6,38,2,2,2,2,4,1,1,5,1,2,1,4,1,1,3,5,1,1,1,1,2,2,3,3,3,3,5,1,51,4
"2291",1618169255,1,4,3,2,4,14,9,9,6,6,7,37,0,40,5,1,5,1,5,1,5,1,5,5,5,5,6,4,4,8,55,2,3,3,3,3,3,3,5,3,3,5,1,3,5,1,4,5,2,1,1,2,2,1,1,1,1,4,1,57,5
"2292",1618349123,2,3,2,2,3,12,11,11,10,7,6,45,0,25,2,4,4,2,3,4,3,1,2,4,2,5,7,2,4,6,58,4,2,3,4,4,4,3,4,4,4,4,2,4,4,4,2,2,2,1,1,2,3,4,2,3,3,3,2,33,2
"2294",1619364237,3,2,2,2,2,11,9,8,9,3,4,33,1,23,3,3,3,4,4,4,2,2,3,2,2,4,4,4,4,8,64,4,4,4,4,4,4,4,4,5,4,4,2,3,3,4,3,4,2,2,2,2,2,3,3,2,4,2,1,28,2
"2296",1619463728,5,5,5,5,3,23,11,11,11,11,11,55,1,8,1,5,1,5,1,5,1,5,1,1,1,1,1,5,3,8,67,3,1,5,5,1,1,1,5,5,5,5,5,5,5,5,5,5,2,2,2,4,2,5,5,5,5,1,2,18,1
"2297",1620257786,3,2,3,3,3,14,11,9,8,6,8,42,0,36,3,2,5,1,5,2,5,1,4,5,4,5,1,1,1,2,48,2,3,2,4,4,2,2,3,4,4,2,2,4,2,3,3,2,2,2,2,4,3,3,1,1,1,0,1,51,4
"2301",1622208642,1,1,3,1,3,9,8,11,3,9,6,37,0,28,1,2,5,1,3,3,2,1,4,5,3,5,1,3,3,6,44,1,1,3,5,4,1,4,2,3,4,5,2,2,1,1,1,4,2,4,2,4,3,5,1,3,4,0,2,67,6
"2303",1622883150,3,2,3,1,4,13,6,9,8,10,11,44,1,23,2,4,2,1,2,1,2,3,2,5,5,3,8,4,1,5,57,2,1,4,5,1,1,1,3,4,5,5,4,5,3,4,5,4,2,4,2,3,2,4,4,4,4,1,1,24,1
"2306",1623601720,1,1,2,1,1,6,6,9,6,6,1,28,1,35,3,1,5,1,5,2,4,2,5,5,4,4,8,5,5,10,25,1,1,1,1,3,1,1,4,1,1,1,1,1,1,1,3,2,2,2,2,2,3,3,1,1,2,1,2,24,1
"2308",1624777405,3,4,3,2,3,15,11,11,11,11,11,55,0,35,5,1,3,1,5,3,5,2,5,5,3,4,2,1,2,3,56,4,3,3,3,3,2,4,5,2,4,4,2,2,5,1,4,5,2,4,3,4,2,1,3,1,1,1,1,59,5
"2309",1624841554,1,1,1,1,1,5,8,9,7,4,4,32,1,19,2,5,3,2,2,5,3,3,1,4,1,3,6,3,3,6,47,2,2,2,2,3,2,2,4,2,3,2,4,3,4,1,5,4,2,2,1,2,2,4,3,4,3,3,1,50,4
"2310",1625499955,3,2,2,2,2,11,6,5,6,6,6,29,0,36,3,1,5,1,5,3,5,1,5,5,3,5,4,4,3,7,63,2,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,4,3,3,1,1,1,1,2,26,2
"2311",1625604461,4,3,2,1,3,13,3,4,4,4,4,19,0,27,3,4,4,2,5,3,3,3,2,4,3,3,5,4,3,7,49,3,3,3,3,3,1,1,5,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,2,1,3,1,2,42,3
"2312",1626149530,1,4,4,1,3,13,8,8,7,6,4,33,0,28,2,2,4,2,4,2,3,3,4,4,4,3,5,4,5,9,44,2,2,2,3,2,2,4,3,3,4,4,2,2,2,2,2,3,2,2,2,4,3,4,2,2,3,0,2,58,5
"2313",1626183682,4,5,4,4,3,20,9,9,9,8,10,45,0,29,2,2,4,2,4,2,3,2,4,4,4,4,3,3,2,5,58,2,2,2,4,3,4,4,4,4,3,4,3,5,4,3,3,4,2,1,2,2,2,4,2,2,3,3,1,58,5
"2314",1626216991,4,3,3,2,3,15,7,4,7,6,7,31,0,19,3,3,2,5,3,2,2,5,3,1,4,1,5,3,1,4,40,4,2,2,4,3,2,1,1,4,3,2,1,1,4,2,3,1,2,2,1,4,2,3,4,3,4,2,2,23,1
"2315",1626272707,1,4,4,4,3,16,9,10,9,8,7,43,0,26,2,2,5,3,5,4,3,4,4,3,2,2,5,2,2,4,58,4,2,4,4,5,4,4,5,5,4,1,2,5,1,5,2,1,2,2,2,2,2,4,1,1,3,2,2,29,2
"2316",1626856104,1,1,1,1,3,7,8,8,4,4,4,28,1,31,2,2,5,2,5,3,3,1,4,4,3,5,6,4,4,8,43,4,1,2,2,2,2,2,5,4,3,1,2,3,2,3,4,1,2,2,2,2,2,4,1,1,3,2,2,34,2
"2317",1627190404,2,2,3,2,3,12,3,7,7,9,7,33,1,29,3,2,5,1,4,5,3,2,4,5,1,4,7,3,3,6,31,3,1,1,1,5,1,1,4,2,1,1,1,3,1,3,1,1,2,2,2,4,2,3,1,2,3,1,1,28,2
"2318",1627205369,3,4,5,4,4,20,5,11,3,8,11,38,0,38,3,1,5,1,5,1,5,1,5,5,5,5,3,4,4,8,26,4,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,1,1,1,2,2,23,1
"2319",1627389564,1,1,1,1,1,5,5,6,6,4,4,25,1,21,1,4,3,2,3,4,3,3,2,4,2,3,5,3,3,6,29,3,1,2,5,2,1,1,3,3,1,1,1,1,1,1,1,1,2,2,2,4,3,5,3,3,3,0,2,66,6
"2320",1627411632,2,3,2,1,4,12,9,8,7,7,7,38,0,24,2,4,3,2,3,2,4,4,2,4,4,2,4,2,2,4,27,3,2,1,3,2,1,1,1,2,1,1,1,1,1,4,1,1,1,2,1,2,2,4,3,3,2,4,2,20,1
"2321",1627571588,4,2,3,4,3,16,8,9,6,4,5,32,1,33,2,2,5,1,5,2,4,2,4,5,4,4,2,2,2,4,61,4,2,2,5,4,3,4,4,5,4,4,2,5,2,4,4,3,2,1,2,2,2,4,1,1,2,3,2,24,1
"2322",1629147926,1,4,3,4,3,15,6,11,11,6,6,40,1,14,1,5,1,3,1,5,3,3,1,3,1,3,5,1,1,2,55,3,3,3,3,3,3,3,3,3,4,3,4,5,1,3,5,3,2,2,1,4,2,5,5,5,3,2,2,20,1
"2323",1630089784,2,2,2,2,2,10,7,6,5,6,6,30,0,26,3,3,3,2,3,3,3,2,3,4,3,4,6,3,3,6,46,2,2,2,2,2,4,3,3,2,2,4,2,2,4,4,2,4,1,1,1,2,2,3,3,3,3,5,2,35,3
"2325",1631526128,1,4,3,3,4,15,6,7,5,4,2,24,0,24,3,3,3,2,3,4,3,3,3,4,2,3,6,3,3,6,38,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,1,3,2,2,3,3,3,3,3,1,53,4
"2327",1632769675,1,4,1,1,2,9,11,11,8,6,2,38,1,19,2,4,3,1,2,4,1,4,2,5,2,2,5,2,3,5,38,3,1,2,4,1,1,2,5,2,2,1,1,1,1,5,5,1,2,3,2,2,2,4,3,4,5,2,2,29,2
"2328",1633011253,4,4,5,5,5,23,11,10,9,8,10,48,1,24,1,2,2,1,1,2,2,1,4,5,4,5,9,5,4,9,71,5,4,4,4,3,3,3,4,4,5,5,5,4,5,5,4,4,2,1,2,2,3,5,4,5,4,2,1,35,3
"2329",1633653522,3,3,4,4,4,18,6,5,7,5,7,30,1,23,4,3,3,4,4,4,3,4,3,2,2,2,6,3,4,7,55,3,3,2,4,2,4,4,4,3,3,4,3,4,4,2,3,3,2,2,4,4,3,2,3,2,3,0,1,31,2
"2330",1633896759,1,3,2,1,2,9,8,9,7,7,7,38,1,21,2,4,2,2,2,4,3,2,2,4,2,4,2,2,2,4,42,3,2,2,3,4,2,1,1,3,2,4,2,2,2,3,4,2,2,2,2,2,3,4,4,4,3,1,2,21,1
"2333",1634449326,1,1,1,1,1,5,4,9,5,3,1,22,0,33,3,4,5,1,3,1,5,1,2,5,5,5,2,2,3,5,37,2,1,2,4,3,2,2,2,2,2,2,1,2,1,4,2,3,1,3,3,3,3,3,1,3,1,1,2,52,4
"2334",1635148993,5,4,3,2,4,18,11,10,7,9,9,46,1,24,3,3,3,2,2,5,4,2,3,4,1,4,8,5,5,10,79,5,4,4,5,5,5,5,5,1,5,5,5,5,5,5,5,5,2,2,2,4,3,3,3,4,2,0,2,60,5
"2335",1635174779,1,1,1,1,3,7,6,8,6,6,6,32,1,25,1,3,3,2,3,3,3,1,3,4,3,5,5,4,5,9,29,4,2,3,3,3,1,1,3,1,1,1,1,1,1,1,1,1,2,1,3,4,2,5,3,3,3,2,1,52,4
"2340",1637702378,3,3,3,3,4,16,7,9,6,9,8,39,1,24,4,4,4,4,4,4,4,4,2,2,2,2,5,4,3,7,36,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,2,4,3,2,2,2,2,1,1,38,3
"2343",1638683224,4,4,4,4,4,20,10,10,8,6,7,41,0,38,4,1,5,1,5,2,5,1,5,5,4,5,7,4,4,8,61,2,2,4,5,5,2,5,5,5,5,2,2,5,4,2,4,2,1,1,1,2,2,2,1,1,1,5,2,19,1
"2346",1639903678,3,3,3,3,3,15,6,6,6,6,6,30,1,24,5,5,5,5,5,5,5,5,1,1,1,1,3,3,3,6,36,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1,1,2,20,1
"2347",1640218455,1,1,1,1,4,8,6,9,6,6,8,35,1,26,3,3,3,2,4,3,4,4,3,4,3,2,8,4,3,7,61,3,4,2,2,4,3,4,5,5,5,4,3,3,1,5,4,4,2,3,2,2,2,3,3,2,2,2,2,72,6
"2348",1640249273,1,3,3,1,3,11,9,10,7,2,5,33,1,20,2,4,2,2,2,4,2,2,2,4,2,4,5,2,3,5,24,3,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,4,3,2,2,4,4,4,4,2,1,29,2
"2350",1640880302,1,5,5,3,5,19,11,11,11,11,11,55,1,20,2,3,2,3,3,4,2,3,3,3,2,3,5,3,3,6,58,3,5,3,4,3,4,4,5,3,3,3,3,3,3,5,3,1,1,2,3,2,2,4,4,3,4,3,2,18,1
"2351",1641806612,3,3,3,3,3,15,6,6,6,6,6,30,1,24,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,51,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,1,2,24,1
"2352",1641959753,4,4,4,2,4,18,7,8,6,6,8,35,1,18,3,5,2,3,1,2,2,4,1,3,4,2,5,3,3,6,42,3,1,2,3,2,2,3,5,1,3,3,3,1,3,2,3,2,2,2,2,4,3,3,4,5,4,0,2,33,2
"2353",1642451944,4,4,5,5,4,22,5,6,6,5,5,27,1,24,3,3,3,3,3,3,3,3,3,3,3,3,7,4,4,8,78,4,5,4,5,5,4,4,4,5,5,4,4,5,5,5,5,5,2,2,2,4,2,3,3,3,3,1,2,23,1
"2354",1642959041,3,4,4,3,3,17,7,7,7,7,7,35,0,24,3,3,3,3,3,3,3,3,3,3,3,3,5,2,2,4,57,4,4,3,4,3,4,3,4,4,3,3,3,3,3,3,3,3,2,3,2,4,3,3,3,3,3,0,2,24,1
"2355",1644030829,2,3,3,3,3,14,8,9,7,9,9,42,0,23,1,2,2,3,3,2,2,2,4,3,4,4,8,4,4,8,50,3,3,3,3,3,3,3,3,3,3,3,3,3,4,1,3,3,2,3,2,3,3,5,4,3,4,0,1,39,3
"2356",1644120649,4,3,3,2,4,16,9,9,6,8,8,40,1,39,5,2,5,1,5,1,5,1,4,5,5,5,3,4,4,8,35,1,2,2,2,3,2,2,2,2,2,3,1,2,3,2,1,3,2,1,2,4,2,1,1,1,1,2,2,29,2
"2358",1644758570,4,5,4,3,2,18,9,7,10,9,11,46,0,33,1,1,5,1,5,3,4,1,5,5,3,5,7,5,5,10,68,4,2,2,4,4,5,5,5,4,5,5,4,5,5,1,5,3,2,1,1,4,2,5,1,1,2,3,2,34,2
"2359",1645414167,4,4,3,4,4,19,7,7,4,8,8,34,0,40,5,1,5,1,5,1,5,1,5,5,5,5,6,2,4,6,78,3,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,3,2,2,3,4,2,1,1,1,1,1,2,28,2
"2360",1645698608,3,4,2,1,2,12,8,10,9,9,9,45,1,24,3,5,3,2,3,3,3,2,1,4,3,4,6,3,2,5,50,3,2,2,3,4,3,3,4,3,4,2,3,3,3,2,4,2,1,1,1,4,2,3,3,3,3,4,2,58,5
"2361",1645993349,4,2,2,1,3,12,11,9,9,9,10,48,0,24,2,4,3,1,3,2,3,4,2,5,4,2,4,3,2,5,43,4,1,2,2,3,3,4,1,2,2,4,1,4,1,4,3,2,2,3,2,2,2,4,3,3,3,2,2,34,2
"2363",1647079872,3,4,2,2,2,13,6,9,6,6,6,33,1,23,3,4,4,3,2,3,2,2,2,3,3,4,3,2,2,4,65,3,2,2,3,5,5,5,3,5,5,5,3,3,3,5,4,4,2,2,2,2,2,3,2,4,4,2,2,24,1
"2364",1647209888,4,2,4,4,3,17,2,3,5,3,5,18,1,22,2,3,3,3,3,3,3,4,3,3,3,2,2,2,2,4,44,2,2,2,2,3,3,3,2,3,2,2,3,2,3,4,3,3,1,1,1,3,2,4,3,3,3,4,1,40,3
